cost_center_id,cost_center_name,business_unit
cc_001,Cost Center 001,IT
cc_002,Cost Center 002,Procurement
cc_003,Cost Center 003,Operations
cc_004,Cost Center 004,Finance
cc_005,Cost Center 005,Operations
cc_006,Cost Center 006,IT
cc_007,Cost Center 007,Procurement
cc_008,Cost Center 008,IT
cc_009,Cost Center 009,IT
cc_010,Cost Center 010,IT
cc_011,Cost Center 011,Procurement
cc_012,Cost Center 012,IT
cc_013,Cost Center 013,Procurement
cc_014,Cost Center 014,Procurement
cc_015,Cost Center 015,Finance
cc_016,Cost Center 016,Procurement
cc_017,Cost Center 017,Finance
cc_018,Cost Center 018,Procurement
cc_019,Cost Center 019,Finance
cc_020,Cost Center 020,Sales
