ocel:eid,ocel:activity,ocel:timestamp,execution_mode
e_000000001,Create Purchase Order,2026-01-02 12:14:00,automated
e_000000002,Approve Purchase Order,2026-01-02 19:14:00,human_in_loop
e_000000003,Send Purchase Order,2026-01-03 00:14:00,ai_assisted
e_000000004,Receive Goods,2026-01-04 00:14:00,ai_assisted
e_000000005,Record Goods Receipt,2026-01-04 10:14:00,manual
e_000000006,Receive Goods,2026-01-05 10:14:00,human_in_loop
e_000000007,Record Goods Receipt,2026-01-05 15:14:00,automated
e_000000008,Receive Invoice,2026-01-12 15:14:00,automated
e_000000009,Match Invoice,2026-01-13 06:14:00,automated
e_000000010,Approve Invoice,2026-01-14 01:14:00,automated
e_000000011,Pay Invoice,2026-01-18 01:14:00,automated
e_000000012,Create Purchase Order,2026-01-02 01:25:00,human_in_loop
e_000000013,Request Purchase Order Change,2026-01-02 02:25:00,human_in_loop
e_000000014,Update Purchase Order,2026-01-02 13:25:00,manual
e_000000015,Approve Purchase Order,2026-01-02 14:25:00,manual
e_000000016,Send Purchase Order,2026-01-02 18:25:00,manual
e_000000017,Receive Goods,2026-01-06 18:25:00,manual
e_000000018,Record Goods Receipt,2026-01-06 23:25:00,manual
e_000000019,Receive Invoice,2026-01-08 23:25:00,automated
e_000000020,Match Invoice,2026-01-17 11:25:00,manual
e_000000021,Approve Invoice,2026-01-18 02:25:00,manual
e_000000022,Pay Invoice,2026-01-20 02:25:00,automated
e_000000023,Create Purchase Order,2026-01-02 17:45:00,manual
e_000000024,Approve Purchase Order,2026-01-02 18:45:00,manual
e_000000025,Send Purchase Order,2026-01-02 20:45:00,manual
e_000000026,Receive Goods,2026-01-03 20:45:00,automated
e_000000027,Record Goods Receipt,2026-01-04 00:45:00,manual
e_000000028,Receive Goods,2026-01-07 00:45:00,automated
e_000000029,Record Goods Receipt,2026-01-07 03:45:00,automated
e_000000030,Receive Invoice,2026-01-13 03:45:00,automated
e_000000031,Match Invoice,2026-01-19 10:45:00,manual
e_000000032,Approve Invoice,2026-01-19 12:45:00,human_in_loop
e_000000033,Pay Invoice,2026-01-29 12:45:00,automated
e_000000034,Create Purchase Order,2026-01-05 05:25:00,automated
e_000000035,Approve Purchase Order,2026-01-05 07:25:00,automated
e_000000036,Send Purchase Order,2026-01-05 12:25:00,automated
e_000000037,Receive Goods,2026-01-08 12:25:00,manual
e_000000038,Record Goods Receipt,2026-01-08 18:25:00,manual
e_000000039,Receive Invoice,2026-01-14 18:25:00,manual
e_000000040,Match Invoice,2026-01-24 09:25:00,manual
e_000000041,Resolve Invoice Mismatch,2026-01-25 12:25:00,manual
e_000000042,Match Invoice,2026-01-26 04:25:00,ai_assisted
e_000000043,Approve Invoice,2026-01-26 19:25:00,manual
e_000000044,Pay Invoice,2026-02-04 19:25:00,human_in_loop
e_000000045,Create Purchase Order,2026-01-02 17:31:00,automated
e_000000046,Approve Purchase Order,2026-01-02 19:31:00,manual
e_000000047,Send Purchase Order,2026-01-02 23:31:00,manual
e_000000048,Receive Goods,2026-01-06 23:31:00,automated
e_000000049,Record Goods Receipt,2026-01-07 06:31:00,manual
e_000000050,Receive Invoice,2026-01-11 06:31:00,automated
e_000000051,Match Invoice,2026-01-11 13:31:00,automated
e_000000052,Approve Invoice,2026-01-12 02:31:00,automated
e_000000053,Pay Invoice,2026-01-18 02:31:00,manual
e_000000054,Create Purchase Order,2026-01-02 16:48:00,automated
e_000000055,Approve Purchase Order,2026-01-08 00:48:00,automated
e_000000056,Send Purchase Order,2026-01-08 01:48:00,manual
e_000000057,Receive Goods,2026-01-12 01:48:00,automated
e_000000058,Record Goods Receipt,2026-01-12 06:48:00,automated
e_000000059,Receive Invoice,2026-01-15 06:48:00,automated
e_000000060,Match Invoice,2026-01-16 00:48:00,manual
e_000000061,Resolve Invoice Mismatch,2026-01-17 15:48:00,manual
e_000000062,Match Invoice,2026-01-18 15:48:00,automated
e_000000063,Approve Invoice,2026-01-19 02:48:00,manual
e_000000064,Pay Invoice,2026-01-21 02:48:00,automated
e_000000065,Create Purchase Order,2026-01-04 07:37:00,automated
e_000000066,Approve Purchase Order,2026-01-04 09:37:00,automated
e_000000067,Send Purchase Order,2026-01-04 12:37:00,manual
e_000000068,Receive Goods,2026-01-06 12:37:00,manual
e_000000069,Record Goods Receipt,2026-01-06 21:37:00,manual
e_000000070,Receive Goods,2026-01-07 21:37:00,human_in_loop
e_000000071,Record Goods Receipt,2026-01-08 06:37:00,manual
e_000000072,Receive Invoice,2026-01-10 06:37:00,automated
e_000000073,Match Invoice,2026-01-10 23:37:00,manual
e_000000074,Approve Invoice,2026-01-11 01:37:00,manual
e_000000075,Pay Invoice,2026-01-19 01:37:00,automated
e_000000076,Create Purchase Order,2026-01-04 21:56:00,automated
e_000000077,Request Purchase Order Change,2026-01-05 00:56:00,manual
e_000000078,Update Purchase Order,2026-01-05 11:56:00,human_in_loop
