ocel:oid,ocel:type
po_000001,purchase_order
supplier_029,supplier
cc_012,cost_center
po_000001_item_1,item
product_0187,product
po_000001_item_2,item
product_0134,product
po_000001_gr_1,goods_receipt
po_000001_gr_2,goods_receipt
po_000001_inv_1,invoice
po_000002,purchase_order
supplier_050,supplier
cc_013,cost_center
po_000002_item_1,item
product_0111,product
po_000002_gr_1,goods_receipt
po_000002_inv_1,invoice
po_000002_inv_2,invoice
po_000003,purchase_order
supplier_022,supplier
cc_003,cost_center
po_000003_item_1,item
product_0127,product
po_000003_item_2,item
product_0199,product
po_000003_gr_1,goods_receipt
po_000003_inv_1,invoice
po_000004,purchase_order
supplier_014,supplier
cc_017,cost_center
po_000004_item_1,item
product_0148,product
po_000004_item_2,item
product_0113,product
po_000004_item_3,item
product_0073,product
po_000004_gr_1,goods_receipt
po_000004_inv_1,invoice
po_000005,purchase_order
supplier_032,supplier
cc_016,cost_center
po_000005_item_1,item
product_0044,product
po_000005_item_2,item
product_0040,product
po_000005_gr_1,goods_receipt
po_000005_inv_1,invoice
po_000006,purchase_order
supplier_044,supplier
cc_002,cost_center
po_000006_item_1,item
product_0191,product
po_000006_item_2,item
product_0012,product
po_000006_item_3,item
product_0112,product
po_000006_gr_1,goods_receipt
po_000006_gr_2,goods_receipt
po_000006_inv_1,invoice
po_000007,purchase_order
supplier_025,supplier
cc_019,cost_center
po_000007_item_1,item
product_0129,product
po_000007_gr_1,goods_receipt
po_000007_inv_1,invoice
po_000008,purchase_order
supplier_011,supplier
po_000008_item_1,item
product_0009,product
po_000008_gr_1,goods_receipt
po_000008_inv_1,invoice
po_000009,purchase_order
supplier_031,supplier
po_000009_item_1,item
product_0062,product
po_000009_item_2,item
product_0118,product
po_000009_item_3,item
product_0117,product
po_000009_item_4,item
product_0092,product
po_000009_gr_1,goods_receipt
po_000009_inv_1,invoice
po_000010,purchase_order
supplier_006,supplier
po_000010_item_1,item
product_0163,product
po_000010_item_2,item
product_0147,product
po_000010_item_3,item
product_0015,product
po_000010_item_4,item
product_0051,product
po_000010_gr_1,goods_receipt
po_000010_inv_1,invoice
po_000010_inv_2,invoice
po_000011,purchase_order
supplier_018,supplier
cc_005,cost_center
po_000011_item_1,item
product_0101,product
po_000011_item_2,item
product_0045,product
po_000011_item_3,item
product_0023,product
po_000011_item_4,item
product_0050,product
po_000011_gr_1,goods_receipt
po_000011_inv_1,invoice
po_000012,purchase_order
supplier_009,supplier
cc_011,cost_center
po_000012_item_1,item
product_0006,product
po_000012_item_2,item
product_0197,product
po_000012_item_3,item
product_0165,product
po_000012_gr_1,goods_receipt
po_000012_gr_2,goods_receipt
po_000012_inv_1,invoice
po_000013,purchase_order
cc_018,cost_center
po_000013_item_1,item
product_0198,product
po_000013_item_2,item
po_000013_item_3,item
product_0142,product
po_000013_gr_1,goods_receipt
po_000013_inv_1,invoice
po_000014,purchase_order
supplier_049,supplier
cc_020,cost_center
po_000014_item_1,item
product_0185,product
po_000014_item_2,item
product_0141,product
po_000014_item_3,item
po_000014_item_4,item
product_0080,product
po_000014_gr_1,goods_receipt
po_000014_inv_1,invoice
po_000015,purchase_order
po_000015_item_1,item
product_0095,product
po_000015_gr_1,goods_receipt
po_000015_inv_1,invoice
po_000016,purchase_order
supplier_036,supplier
po_000016_item_1,item
product_0154,product
po_000016_gr_1,goods_receipt
po_000016_inv_1,invoice
po_000016_inv_2,invoice
po_000017,purchase_order
supplier_003,supplier
po_000017_item_1,item
product_0110,product
po_000017_gr_1,goods_receipt
po_000017_inv_1,invoice
po_000018,purchase_order
supplier_015,supplier
cc_001,cost_center
po_000018_item_1,item
product_0166,product
po_000018_item_2,item
product_0035,product
po_000018_gr_1,goods_receipt
po_000018_inv_1,invoice
po_000019,purchase_order
cc_008,cost_center
po_000019_item_1,item
product_0181,product
po_000019_gr_1,goods_receipt
po_000019_gr_2,goods_receipt
po_000019_inv_1,invoice
po_000019_inv_2,invoice
po_000020,purchase_order
supplier_034,supplier
po_000020_item_1,item
product_0192,product
po_000020_item_2,item
po_000020_item_3,item
product_0084,product
po_000020_item_4,item
product_0153,product
po_000020_gr_1,goods_receipt
po_000020_inv_1,invoice
po_000020_inv_2,invoice
po_000021,purchase_order
supplier_004,supplier
po_000021_item_1,item
product_0106,product
po_000021_item_2,item
product_0025,product
po_000021_item_3,item
product_0168,product
po_000021_item_4,item
po_000021_item_5,item
product_0085,product
po_000021_gr_1,goods_receipt
po_000021_inv_1,invoice
po_000022,purchase_order
supplier_012,supplier
cc_014,cost_center
po_000022_item_1,item
product_0099,product
po_000022_item_2,item
product_0152,product
po_000022_gr_1,goods_receipt
po_000022_inv_1,invoice
po_000023,purchase_order
supplier_001,supplier
po_000023_item_1,item
po_000023_item_2,item
product_0156,product
po_000023_item_3,item
po_000023_item_4,item
product_0033,product
po_000023_gr_1,goods_receipt
po_000023_inv_1,invoice
po_000023_inv_2,invoice
po_000024,purchase_order
supplier_024,supplier
po_000024_item_1,item
product_0177,product
po_000024_item_2,item
po_000024_item_3,item
product_0053,product
po_000024_item_4,item
product_0193,product
po_000024_gr_1,goods_receipt
po_000024_inv_1,invoice
po_000024_inv_2,invoice
po_000025,purchase_order
supplier_045,supplier
