product_id,product_name,product_category,unit_price
product_0001,Product 0001,Services,723.08
product_0002,Product 0002,Office Supplies,834.0
product_0003,Product 0003,Logistics,1379.8
product_0004,Product 0004,Office Supplies,544.78
product_0005,Product 0005,IT Hardware,1192.81
product_0006,Product 0006,Office Supplies,154.49
product_0007,Product 0007,Maintenance,367.43
product_0008,Product 0008,Office Supplies,610.35
product_0009,Product 0009,Maintenance,853.09
product_0010,Product 0010,Office Supplies,616.58
product_0011,Product 0011,Logistics,766.55
product_0012,Product 0012,Services,1381.2
product_0013,Product 0013,Services,115.65
product_0014,Product 0014,Services,724.65
product_0015,Product 0015,Logistics,1279.5
product_0016,Product 0016,IT Hardware,1261.03
product_0017,Product 0017,Logistics,447.7
product_0018,Product 0018,Logistics,1091.37
product_0019,Product 0019,Office Supplies,1047.43
product_0020,Product 0020,Services,590.91
product_0021,Product 0021,Maintenance,292.94
product_0022,Product 0022,Logistics,876.5
product_0023,Product 0023,Office Supplies,817.02
product_0024,Product 0024,IT Hardware,760.18
product_0025,Product 0025,Services,792.77
product_0026,Product 0026,Maintenance,172.09
product_0027,Product 0027,Maintenance,606.08
product_0028,Product 0028,Office Supplies,1222.16
product_0029,Product 0029,Office Supplies,1191.49
product_0030,Product 0030,IT Hardware,908.8
product_0031,Product 0031,IT Hardware,515.36
product_0032,Product 0032,IT Hardware,574.89
product_0033,Product 0033,Office Supplies,450.04
product_0034,Product 0034,Maintenance,689.9
product_0035,Product 0035,Logistics,1019.27
product_0036,Product 0036,Logistics,1003.64
product_0037,Product 0037,IT Hardware,115.28
product_0038,Product 0038,Logistics,1326.93
product_0039,Product 0039,Maintenance,563.16
product_0040,Product 0040,Logistics,1481.31
product_0041,Product 0041,Maintenance,536.52
product_0042,Product 0042,Office Supplies,1393.06
product_0043,Product 0043,Maintenance,728.89
product_0044,Product 0044,Logistics,1464.41
product_0045,Product 0045,IT Hardware,692.45
product_0046,Product 0046,Office Supplies,529.16
product_0047,Product 0047,Office Supplies,775.12
product_0048,Product 0048,Logistics,1404.68
product_0049,Product 0049,Maintenance,254.76
product_0050,Product 0050,Services,332.09
product_0051,Product 0051,Logistics,1003.4
product_0052,Product 0052,Logistics,638.72
product_0053,Product 0053,Logistics,171.81
product_0054,Product 0054,Services,238.76
