ocel:eid,ocel:oid,ocel:type,ocel:qualifier
e_000000001,po_000001,purchase_order,primary
e_000000001,supplier_029,supplier,reference
e_000000001,cc_012,cost_center,reference
e_000000002,po_000001,purchase_order,primary
e_000000002,cc_012,cost_center,reference
e_000000003,po_000001,purchase_order,primary
e_000000003,supplier_029,supplier,reference
e_000000004,po_000001,purchase_order,reference
e_000000004,po_000001_gr_1,goods_receipt,primary
e_000000004,po_000001_item_1,item,item
e_000000005,po_000001,purchase_order,reference
e_000000005,po_000001_gr_1,goods_receipt,primary
e_000000006,po_000001,purchase_order,reference
e_000000006,po_000001_gr_2,goods_receipt,primary
e_000000006,po_000001_item_1,item,item
e_000000006,po_000001_item_2,item,item
e_000000007,po_000001,purchase_order,reference
e_000000007,po_000001_gr_2,goods_receipt,primary
e_000000008,po_000001,purchase_order,reference
e_000000008,po_000001_inv_1,invoice,primary
e_000000008,supplier_029,supplier,reference
e_000000009,po_000001,purchase_order,reference
e_000000009,po_000001_inv_1,invoice,primary
e_000000010,po_000001,purchase_order,reference
e_000000010,po_000001_inv_1,invoice,primary
e_000000011,po_000001,purchase_order,reference
e_000000011,po_000001_inv_1,invoice,primary
e_000000012,po_000002,purchase_order,primary
e_000000012,supplier_050,supplier,reference
e_000000012,cc_013,cost_center,reference
e_000000013,po_000002,purchase_order,primary
e_000000013,cc_013,cost_center,reference
e_000000014,po_000002,purchase_order,primary
e_000000014,supplier_050,supplier,reference
e_000000015,po_000002,purchase_order,reference
e_000000015,po_000002_gr_1,goods_receipt,primary
e_000000015,po_000002_item_1,item,item
e_000000016,po_000002,purchase_order,reference
e_000000016,po_000002_gr_1,goods_receipt,primary
e_000000017,po_000002,purchase_order,reference
e_000000017,po_000002_inv_1,invoice,primary
e_000000017,supplier_050,supplier,reference
e_000000018,po_000002,purchase_order,reference
e_000000018,po_000002_inv_1,invoice,primary
e_000000019,po_000002,purchase_order,reference
e_000000019,po_000002_inv_1,invoice,primary
e_000000020,po_000002,purchase_order,reference
e_000000020,po_000002_inv_1,invoice,primary
e_000000021,po_000002,purchase_order,reference
e_000000021,po_000002_inv_2,invoice,primary
e_000000021,supplier_050,supplier,reference
e_000000022,po_000002,purchase_order,reference
e_000000022,po_000002_inv_2,invoice,primary
e_000000023,po_000002,purchase_order,reference
e_000000023,po_000002_inv_2,invoice,primary
e_000000024,po_000002,purchase_order,reference
e_000000024,po_000002_inv_2,invoice,primary
e_000000025,po_000003,purchase_order,primary
e_000000025,supplier_022,supplier,reference
e_000000025,cc_003,cost_center,reference
e_000000026,po_000003,purchase_order,primary
e_000000026,cc_003,cost_center,reference
e_000000027,po_000003,purchase_order,primary
e_000000027,supplier_022,supplier,reference
e_000000028,po_000003,purchase_order,reference
e_000000028,po_000003_gr_1,goods_receipt,primary
e_000000028,po_000003_item_1,item,item
e_000000028,po_000003_item_2,item,item
e_000000029,po_000003,purchase_order,reference
e_000000029,po_000003_gr_1,goods_receipt,primary
e_000000030,po_000003,purchase_order,reference
e_000000030,po_000003_inv_1,invoice,primary
e_000000030,supplier_022,supplier,reference
e_000000031,po_000003,purchase_order,reference
e_000000031,po_000003_inv_1,invoice,primary
e_000000032,po_000003,purchase_order,reference
e_000000032,po_000003_inv_1,invoice,primary
e_000000033,po_000003,purchase_order,reference
e_000000033,po_000003_inv_1,invoice,primary
e_000000034,po_000004,purchase_order,primary
e_000000034,supplier_014,supplier,reference
e_000000034,cc_017,cost_center,reference
