supplier_id,supplier_name,supplier_region,risk_level
supplier_001,Supplier 001,UK,high
supplier_002,Supplier 002,UK,low
supplier_003,Supplier 003,APAC,low
supplier_004,Supplier 004,UK,high
supplier_005,Supplier 005,EU,low
supplier_006,Supplier 006,UK,medium
supplier_007,Supplier 007,APAC,medium
supplier_008,Supplier 008,US,high
supplier_009,Supplier 009,US,high
supplier_010,Supplier 010,EU,high
supplier_011,Supplier 011,UK,low
supplier_012,Supplier 012,APAC,medium
supplier_013,Supplier 013,APAC,low
supplier_014,Supplier 014,US,high
supplier_015,Supplier 015,EU,medium
supplier_016,Supplier 016,EU,low
supplier_017,Supplier 017,APAC,high
supplier_018,Supplier 018,US,low
supplier_019,Supplier 019,EU,medium
supplier_020,Supplier 020,US,low
supplier_021,Supplier 021,APAC,low
supplier_022,Supplier 022,APAC,high
supplier_023,Supplier 023,UK,high
supplier_024,Supplier 024,US,medium
supplier_025,Supplier 025,US,high
supplier_026,Supplier 026,UK,low
supplier_027,Supplier 027,UK,medium
supplier_028,Supplier 028,US,medium
supplier_029,Supplier 029,UK,medium
supplier_030,Supplier 030,US,high
supplier_031,Supplier 031,US,high
supplier_032,Supplier 032,EU,medium
supplier_033,Supplier 033,US,high
supplier_034,Supplier 034,UK,medium
supplier_035,Supplier 035,UK,high
supplier_036,Supplier 036,EU,high
supplier_037,Supplier 037,EU,low
supplier_038,Supplier 038,EU,medium
supplier_039,Supplier 039,UK,high
supplier_040,Supplier 040,APAC,medium
supplier_041,Supplier 041,UK,high
supplier_042,Supplier 042,EU,medium
supplier_043,Supplier 043,APAC,high
supplier_044,Supplier 044,US,high
supplier_045,Supplier 045,US,medium
supplier_046,Supplier 046,US,low
supplier_047,Supplier 047,US,high
supplier_048,Supplier 048,UK,low
supplier_049,Supplier 049,UK,low
supplier_050,Supplier 050,EU,medium
